😀	emoji grinning face
🤟🏾	emoji love-you gesture: medium-dark skin tone
🤟🏿	emoji love-you gesture: dark skin tone
🤘	emoji sign of the horns
🤘🏻	emoji sign of the horns: light skin tone
🤘🏼	emoji sign of the horns: medium-light skin tone
🤘🏽	emoji sign of the horns: medium skin tone
🤘🏾	emoji sign of the horns: medium-dark skin tone
🤘🏿	emoji sign of the horns: dark skin tone
🤙	emoji call me hand
🤙🏻	emoji call me hand: light skin tone
🤙🏼	emoji call me hand: medium-light skin tone
🤙🏽	emoji call me hand: medium skin tone
🤙🏾	emoji call me hand: medium-dark skin tone
🤙🏿	emoji call me hand: dark skin tone
👈	emoji backhand index pointing left
👈🏻	emoji backhand index pointing left: light skin tone
👈🏼	emoji backhand index pointing left: medium-light skin tone
👈🏽	emoji backhand index pointing left: medium skin tone
👈🏾	emoji backhand index pointing left: medium-dark skin tone
👈🏿	emoji backhand index pointing left: dark skin tone
👉	emoji backhand index pointing right
👉🏻	emoji backhand index pointing right: light skin tone
👉🏼	emoji backhand index pointing right: medium-light skin tone
👉🏽	emoji backhand index pointing right: medium skin tone
👉🏾	emoji backhand index pointing right: medium-dark skin tone
👉🏿	emoji backhand index pointing right: dark skin tone
👆	emoji backhand index pointing up
👆🏻	emoji backhand index pointing up: light skin tone
👆🏼	emoji backhand index pointing up: medium-light skin tone
👆🏽	emoji backhand index pointing up: medium skin tone
👆🏾	emoji backhand index pointing up: medium-dark skin tone
👆🏿	emoji backhand index pointing up: dark skin tone
🖕	emoji middle finger
🖕🏻	emoji middle finger: light skin tone
🖕🏼	emoji middle finger: medium-light skin tone
🖕🏽	emoji middle finger: medium skin tone
🖕🏾	emoji middle finger: medium-dark skin tone
🖕🏿	emoji middle finger: dark skin tone
👇	emoji backhand index pointing down
👇🏻	emoji backhand index pointing down: light skin tone
👇🏼	emoji backhand index pointing down: medium-light skin tone
👇🏽	emoji backhand index pointing down: medium skin tone
👇🏾	emoji backhand index pointing down: medium-dark skin tone
👇🏿	emoji backhand index pointing down: dark skin tone
☝️	emoji index pointing up
☝🏻	emoji index pointing up: light skin tone
☝🏼	emoji index pointing up: medium-light skin tone
☝🏽	emoji index pointing up: medium skin tone
☝🏾	emoji index pointing up: medium-dark skin tone
☝🏿	emoji index pointing up: dark skin tone
🫵	emoji index pointing at the viewer
🫵🏻	emoji index pointing at the viewer: light skin tone
🫵🏼	emoji index pointing at the viewer: medium-light skin tone
🫵🏽	emoji index pointing at the viewer: medium skin tone
🫵🏾	emoji index pointing at the viewer: medium-dark skin tone
🫵🏿	emoji index pointing at the viewer: dark skin tone
👍	emoji thumbs up
👍🏻	emoji thumbs up: light skin tone
👍🏼	emoji thumbs up: medium-light skin tone
👍🏽	emoji thumbs up: medium skin tone
👍🏾	emoji thumbs up: medium-dark skin tone
👍🏿	emoji thumbs up: dark skin tone
👎	emoji thumbs down
👎🏻	emoji thumbs down: light skin tone
👎🏼	emoji thumbs down: medium-light skin tone
👎🏽	emoji thumbs down: medium skin tone
👎🏾	emoji thumbs down: medium-dark skin tone
👎🏿	emoji thumbs down: dark skin tone
✊	emoji raised fist
✊🏻	emoji raised fist: light skin tone
✊🏼	emoji raised fist: medium-light skin tone
✊🏽	emoji raised fist: medium skin tone
✊🏾	emoji raised fist: medium-dark skin tone
✊🏿	emoji raised fist: dark skin tone
👊	emoji oncoming fist
👊🏻	emoji oncoming fist: light skin tone
👊🏼	emoji oncoming fist: medium-light skin tone
👊🏽	emoji oncoming fist: medium skin tone
👊🏾	emoji oncoming fist: medium-dark skin tone
👊🏿	emoji oncoming fist: dark skin tone
🤛	emoji left-facing fist
🤛🏻	emoji left-facing fist: light skin tone
🤛🏼	emoji left-facing fist: medium-light skin tone
🤛🏽	emoji left-facing fist: medium skin tone
🤛🏾	emoji left-facing fist: medium-dark skin tone
🤛🏿	emoji left-facing fist: dark skin tone
🤜	emoji right-facing fist
🤜🏻	emoji right-facing fist: light skin tone
🤜🏼	emoji right-facing fist: medium-light skin tone
🤜🏽	emoji right-facing fist: medium skin tone
🤜🏾	emoji right-facing fist: medium-dark skin tone
🤜🏿	emoji right-facing fist: dark skin tone
👏	emoji clapping hands
👏🏻	emoji clapping hands: light skin tone
👏🏼	emoji clapping hands: medium-light skin tone
👏🏽	emoji clapping hands: medium skin tone
👏🏾	emoji clapping hands: medium-dark skin tone
👏🏿	emoji clapping hands: dark skin tone
🙌	emoji raising hands
🙌🏻	emoji raising hands: light skin tone
🙌🏼	emoji raising hands: medium-light skin tone
🙌🏽	emoji raising hands: medium skin tone
🙌🏾	emoji raising hands: medium-dark skin tone
🙌🏿	emoji raising hands: dark skin tone
🫶	emoji heart hands
🫶🏻	emoji heart hands: light skin tone
🫶🏼	emoji heart hands: medium-light skin tone
🫶🏽	emoji heart hands: medium skin tone
🫶🏾	emoji heart hands: medium-dark skin tone
