😀	emoji grinning face
␑	symbol for device control one U+2411
␒	symbol for device control two U+2412
␓	symbol for device control three U+2413
␔	symbol for device control four U+2414
␕	symbol for negative acknowledge U+2415
␖	symbol for synchronous idle U+2416
␗	symbol for end of transmission block U+2417
␘	symbol for cancel U+2418
␙	symbol for end of medium U+2419
␚	symbol for substitute U+241A
␛	symbol for escape U+241B
␜	symbol for file separator U+241C
␝	symbol for group separator U+241D
␞	symbol for record separator U+241E
␟	symbol for unit separator U+241F
␠	symbol for space U+2420
␡	symbol for delete U+2421
␢	blank symbol U+2422
␣	open box U+2423
␤	symbol for newline U+2424
␥	symbol for delete form two U+2425
␦	symbol for substitute form two U+2426
␧	symbol for delete square checker board form U+2427
␨	symbol for delete rectangular checker board form U+2428
␩	symbol for delete medium shade form U+2429
⑀	ocr hook U+2440
⑁	ocr chair U+2441
⑂	ocr fork U+2442
⑃	ocr inverted fork U+2443
⑄	ocr belt buckle U+2444
⑅	ocr bow tie U+2445
⑆	ocr branch bank identification U+2446
⑇	ocr amount of check U+2447
⑈	ocr dash U+2448
⑉	ocr customer account number U+2449
⑊	ocr double backslash U+244A
①	circled digit one U+2460
②	circled digit two U+2461
③	circled digit three U+2462
④	circled digit four U+2463
⑤	circled digit five U+2464
⑥	circled digit six U+2465
⑦	circled digit seven U+2466
⑧	circled digit eight U+2467
⑨	circled digit nine U+2468
⑩	circled number ten U+2469
⑪	circled number eleven U+246A
⑫	circled number twelve U+246B
⑬	circled number thirteen U+246C
⑭	circled number fourteen U+246D
⑮	circled number fifteen U+246E
⑯	circled number sixteen U+246F
⑰	circled number seventeen U+2470
⑱	circled number eighteen U+2471
⑲	circled number nineteen U+2472
⑳	circled number twenty U+2473
⑴	parenthesized digit one U+2474
⑵	parenthesized digit two U+2475
⑶	parenthesized digit three U+2476
⑷	parenthesized digit four U+2477
⑸	parenthesized digit five U+2478
⑹	parenthesized digit six U+2479
⑺	parenthesized digit seven U+247A
⑻	parenthesized digit eight U+247B
⑼	parenthesized digit nine U+247C
⑽	parenthesized number ten U+247D
⑾	parenthesized number eleven U+247E
⑿	parenthesized number twelve U+247F
⒀	parenthesized number thirteen U+2480
⒁	parenthesized number fourteen U+2481
⒂	parenthesized number fifteen U+2482
⒃	parenthesized number sixteen U+2483
⒄	parenthesized number seventeen U+2484
⒅	parenthesized number eighteen U+2485
⒆	parenthesized number nineteen U+2486
⒇	parenthesized number twenty U+2487
⒈	digit one full stop U+2488
⒉	digit two full stop U+2489
⒊	digit three full stop U+248A
⒋	digit four full stop U+248B
⒌	digit five full stop U+248C
⒍	digit six full stop U+248D
⒎	digit seven full stop U+248E
⒏	digit eight full stop U+248F
⒐	digit nine full stop U+2490
⒑	number ten full stop U+2491
⒒	number eleven full stop U+2492
⒓	number twelve full stop U+2493
⒔	number thirteen full stop U+2494
⒕	number fourteen full stop U+2495
⒖	number fifteen full stop U+2496
⒗	number sixteen full stop U+2497
⒘	number seventeen full stop U+2498
⒙	number eighteen full stop U+2499
⒚	number nineteen full stop U+249A
⒛	number twenty full stop U+249B
⒜	parenthesized latin small letter a U+249C
⒝	parenthesized latin small letter b U+249D
⒞	parenthesized latin small letter c U+249E
⒟	parenthesized latin small letter d U+249F
⒠	parenthesized latin small letter e U+24A0
⒡	parenthesized latin small letter f U+24A1
⒢	parenthesized latin small letter g U+24A2
⒣	parenthesized latin small letter h U+24A3
⒤	parenthesized latin small letter i U+24A4
⒥	parenthesized latin small letter j U+24A5
⒦	parenthesized latin small letter k U+24A6
⒧	parenthesized latin small letter l U+24A7
⒨	parenthesized latin small letter m U+24A8
⒩	parenthesized latin small letter n U+24A9
⒪	parenthesized latin small letter o U+24AA
⒫	parenthesized latin small letter p U+24AB
⒬	parenthesized latin small letter q U+24AC
⒭	parenthesized latin small letter r U+24AD
⒮	parenthesized latin small letter s U+24AE
⒯	parenthesized latin small letter t U+24AF
⒰	parenthesized latin small letter u U+24B0
⒱	parenthesized latin small letter v U+24B1
⒲	parenthesized latin small letter w U+24B2
⒳	parenthesized latin small letter x U+24B3
⒴	parenthesized latin small letter y U+24B4
⒵	parenthesized latin small letter z U+24B5
Ⓐ	circled latin capital letter a U+24B6
Ⓑ	circled latin capital letter b U+24B7
Ⓒ	circled latin capital letter c U+24B8
Ⓓ	circled latin capital letter d U+24B9
Ⓔ	circled latin capital letter e U+24BA
Ⓕ	circled latin capital letter f U+24BB
Ⓖ	circled latin capital letter g U+24BC
Ⓗ	circled latin capital letter h U+24BD
Ⓘ	circled latin capital letter i U+24BE
Ⓙ	circled latin capital letter j U+24BF
Ⓚ	circled latin capital letter k U+24C0
Ⓛ	circled latin capital letter l U+24C1
Ⓜ	circled latin capital letter m U+24C2
Ⓝ	circled latin capital letter n U+24C3
Ⓞ	circled latin capital letter o U+24C4
Ⓟ	circled latin capital letter p U+24C5
Ⓠ	circled latin capital letter q U+24C6
Ⓡ	circled latin capital letter r U+24C7
Ⓢ	circled latin capital letter s U+24C8
Ⓣ	circled latin capital letter t U+24C9
Ⓤ	circled latin capital letter u U+24CA
Ⓥ	circled latin capital letter v U+24CB
Ⓦ	circled latin capital letter w U+24CC
Ⓧ	circled latin capital letter x U+24CD
Ⓨ	circled latin capital letter y U+24CE
Ⓩ	circled latin capital letter z U+24CF
ⓐ	circled latin small letter a U+24D0
ⓑ	circled latin small letter b U+24D1
ⓒ	circled latin small letter c U+24D2
ⓓ	circled latin small letter d U+24D3
ⓔ	circled latin small letter e U+24D4
ⓕ	circled latin small letter f U+24D5
ⓖ	circled latin small letter g U+24D6
ⓗ	circled latin small letter h U+24D7
ⓘ	circled latin small letter i U+24D8
ⓙ	circled latin small letter j U+24D9
ⓚ	circled latin small letter k U+24DA
ⓛ	circled latin small letter l U+24DB
ⓜ	circled latin small letter m U+24DC
ⓝ	circled latin small letter n U+24DD
ⓞ	circled latin small letter o U+24DE
ⓟ	circled latin small letter p U+24DF
ⓠ	circled latin small letter q U+24E0
ⓡ	circled latin small letter r U+24E1
ⓢ	circled latin small letter s U+24E2
ⓣ	circled latin small letter t U+24E3
ⓤ	circled latin small letter u U+24E4
ⓥ	circled latin small letter v U+24E5
ⓦ	circled latin small letter w U+24E6
ⓧ	circled latin small letter x U+24E7
ⓨ	circled latin small letter y U+24E8
ⓩ	circled latin small letter z U+24E9
⓪	circled digit zero U+24EA
⓫	negative circled number eleven U+24EB
⓬	negative circled number twelve U+24EC
⓭	negative circled number thirteen U+24ED
⓮	negative circled number fourteen U+24EE
⓯	negative circled number fifteen U+24EF
⓰	negative circled number sixteen U+24F0
⓱	negative circled number seventeen U+24F1
⓲	negative circled number eighteen U+24F2
⓳	negative circled number nineteen U+24F3
⓴	negative circled number twenty U+24F4
⓵	double circled digit one U+24F5
⓶	double circled digit two U+24F6
⓷	double circled digit three U+24F7
⓸	double circled digit four U+24F8
⓹	double circled digit five U+24F9
⓺	double circled digit six U+24FA
⓻	double circled digit seven U+24FB
⓼	double circled digit eight U+24FC
⓽	double circled digit nine U+24FD
⓾	double circled number ten U+24FE
⓿	negative circled digit zero U+24FF
─	box drawings light horizontal U+2500
━	box drawings heavy horizontal U+2501
│	box drawings light vertical U+2502
┃	box drawings heavy vertical U+2503
┄	box drawings light triple dash horizontal U+2504
┅	box drawings heavy triple dash horizontal U+2505
┆	box drawings light triple dash vertical U+2506
┇	box drawings heavy triple dash vertical U+2507
┈	box drawings light quadruple dash horizontal U+2508
┉	box drawings heavy quadruple dash horizontal U+2509
┊	box drawings light quadruple dash vertical U+250A
┋	box drawings heavy quadruple dash vertical U+250B
┌	box drawings light down and right U+250C
┍	box drawings down light and right heavy U+250D
┎	box drawings down heavy and right light U+250E
┏	box drawings heavy down and right U+250F
┐	box drawings light down and left U+2510
┑	box drawings down light and left heavy U+2511
┒	box drawings down heavy and left light U+2512
┓	box drawings heavy down and left U+2513
└	box drawings light up and right U+2514
┕	box drawings up light and right heavy U+2515
┖	box drawings up heavy and right light U+2516
┗	box drawings heavy up and right U+2517
┘	box drawings light up and left U+2518
┙	box drawings up light and left heavy U+2519
┚	box drawings up heavy and left light U+251A
┛	box drawings heavy up and left U+251B
├	box drawings light vertical and right U+251C
┝	box drawings vertical light and right heavy U+251D
┞	box drawings up heavy and right down light U+251E
┟	box drawings down heavy and right up light U+251F
┠	box drawings vertical heavy and right light U+2520
┡	box drawings down light and right up heavy U+2521
┢	box drawings up light and right down heavy U+2522
┣	box drawings heavy vertical and right U+2523
┤	box drawings light vertical and left U+2524
┥	box drawings vertical light and left heavy U+2525
┦	box drawings up heavy and left down light U+2526
┧	box drawings down heavy and left up light U+2527
┨	box drawings vertical heavy and left light U+2528
┩	box drawings down light and left up heavy U+2529
┪	box drawings up light and left down heavy U+252A
┫	box drawings heavy vertical and left U+252B
┬	box drawings light down and horizontal U+252C
┭	box drawings left heavy and right down light U+252D
┮	box drawings right heavy and left down light U+252E
┯	box drawings down light and horizontal heavy U+252F
┰	box drawings down heavy and horizontal light U+2530
┱	box drawings right light and left down heavy U+2531
┲	box drawings left light and right down heavy U+2532
┳	box drawings heavy down and horizontal U+2533
┴	box drawings light up and horizontal U+2534
┵	box drawings left heavy and right up light U+2535
┶	box drawings right heavy and left up light U+2536
┷	box drawings up light and horizontal heavy U+2537
┸	box drawings up heavy and horizontal light U+2538
┹	box drawings right light and left up heavy U+2539
┺	box drawings left light and right up heavy U+253A
┻	box drawings heavy up and horizontal U+253B
┼	box drawings light vertical and horizontal U+253C
┽	box drawings left heavy and right vertical light U+253D
┾	box drawings right heavy and left vertical light U+253E
┿	box drawings vertical light and horizontal heavy U+253F
╀	box drawings up heavy and down horizontal light U+2540
╁	box drawings down heavy and up horizontal light U+2541
╂	box drawings vertical heavy and horizontal light U+2542
╃	box drawings left up heavy and right down light U+2543
╄	box drawings right up heavy and left down light U+2544
╅	box drawings left down heavy and right up light U+2545
╆	box drawings right down heavy and left up light U+2546
╇	box drawings down light and up horizontal heavy U+2547
╈	box drawings up light and down horizontal heavy U+2548
╉	box drawings right light and left vertical heavy U+2549
╊	box drawings left light and right vertical heavy U+254A
╋	box drawings heavy vertical and horizontal U+254B
╌	box drawings light double dash horizontal U+254C
╍	box drawings heavy double dash horizontal U+254D
╎	box drawings light double dash vertical U+254E
╏	box drawings heavy double dash vertical U+254F
═	box drawings double horizontal U+2550
║	box drawings double vertical U+2551
╒	box drawings down single and right double U+2552
╓	box drawings down double and right single U+2553
╔	box drawings double down and right U+2554
╕	box drawings down single and left double U+2555
╖	box drawings down double and left single U+2556
╗	box drawings double down and left U+2557
╘	box drawings up single and right double U+2558
╙	box drawings up double and right single U+2559
╚	box drawings double up and right U+255A
╛	box drawings up single and left double U+255B
╜	box drawings up double and left single U+255C
╝	box drawings double up and left U+255D
╞	box drawings vertical single and right double U+255E
╟	box drawings vertical double and right single U+255F
╠	box drawings double vertical and right U+2560
╡	box drawings vertical single and left double U+2561
╢	box drawings vertical double and left single U+2562
╣	box drawings double vertical and left U+2563
╤	box drawings down single and horizontal double U+2564
╥	box drawings down double and horizontal single U+2565
╦	box drawings double down and horizontal U+2566
╧	box drawings up single and horizontal double U+2567
╨	box drawings up double and horizontal single U+2568
╩	box drawings double up and horizontal U+2569
╪	box drawings vertical single and horizontal double U+256A
╫	box drawings vertical double and horizontal single U+256B
╬	box drawings double vertical and horizontal U+256C
╭	box drawings light arc down and right U+256D
╮	box drawings light arc down and left U+256E
╯	box drawings light arc up and left U+256F
╰	box drawings light arc up and right U+2570
╱	box drawings light diagonal upper right to lower left U+2571
╲	box drawings light diagonal upper left to lower right U+2572
╳	box drawings light diagonal cross U+2573
╴	box drawings light left U+2574
╵	box drawings light up U+2575
╶	box drawings light right U+2576
╷	box drawings light down U+2577
╸	box drawings heavy left U+2578
╹	box drawings heavy up U+2579
╺	box drawings heavy right U+257A
╻	box drawings heavy down U+257B
╼	box drawings light left and heavy right U+257C
╽	box drawings light up and heavy down U+257D
╾	box drawings heavy left and light right U+257E
╿	box drawings heavy up and light down U+257F
▀	upper half block U+2580
▁	lower one eighth block U+2581
▂	lower one quarter block U+2582
▃	lower three eighths block U+2583
▄	lower half block U+2584
▅	lower five eighths block U+2585
▆	lower three quarters block U+2586
▇	lower seven eighths block U+2587
█	full block U+2588
▉	left seven eighths block U+2589
▊	left three quarters block U+258A
▋	left five eighths block U+258B
▌	left half block U+258C
▍	left three eighths block U+258D
▎	left one quarter block U+258E
▏	left one eighth block U+258F
▐	right half block U+2590
░	light shade U+2591
▒	medium shade U+2592
▓	dark shade U+2593
▔	upper one eighth block U+2594
▕	right one eighth block U+2595
▖	quadrant lower left U+2596
▗	quadrant lower right U+2597
▘	quadrant upper left U+2598
▙	quadrant upper left and lower left and lower right U+2599
▚	quadrant upper left and lower right U+259A
▛	quadrant upper left and upper right and lower left U+259B
▜	quadrant upper left and upper right and lower right U+259C
▝	quadrant upper right U+259D
▞	quadrant upper right and lower left U+259E
▟	quadrant upper right and lower left and lower right U+259F
■	black square U+25A0
□	white square U+25A1
▢	white square with rounded corners U+25A2
▣	white square containing black small square U+25A3
▤	square with horizontal fill U+25A4
▥	square with vertical fill U+25A5
▦	square with orthogonal crosshatch fill U+25A6
▧	square with upper left to lower right fill U+25A7
▨	square with upper right to lower left fill U+25A8
▩	square with diagonal crosshatch fill U+25A9
▪	black small square U+25AA
▫	white small square U+25AB
▬	black rectangle U+25AC
▭	white rectangle U+25AD
▮	black vertical rectangle U+25AE
▯	white vertical rectangle U+25AF
▰	black parallelogram U+25B0
▱	white parallelogram U+25B1
▲	black up-pointing triangle U+25B2
△	white up-pointing triangle U+25B3
▴	black up-pointing small triangle U+25B4
▵	white up-pointing small triangle U+25B5
▶	black right-pointing triangle U+25B6
▷	white right-pointing triangle U+25B7
▸	black right-pointing small triangle U+25B8
▹	white right-pointing small triangle U+25B9
►	black right-pointing pointer U+25BA
▻	white right-pointing pointer U+25BB
▼	black down-pointing triangle U+25BC
▽	white down-pointing triangle U+25BD
▾	black down-pointing small triangle U+25BE
▿	white down-pointing small triangle U+25BF
◀	black left-pointing triangle U+25C0
◁	white left-pointing triangle U+25C1
◂	black left-pointing small triangle U+25C2
◃	white left-pointing small triangle U+25C3
◄	black left-pointing pointer U+25C4
◅	white left-pointing pointer U+25C5
◆	black diamond U+25C6
◇	white diamond U+25C7
◈	white diamond containing black small diamond U+25C8
◉	fisheye U+25C9
◊	lozenge U+25CA
○	white circle U+25CB
◌	dotted circle U+25CC
◍	circle with vertical fill U+25CD
◎	bullseye U+25CE
●	black circle U+25CF
◐	circle with left half black U+25D0
◑	circle with right half black U+25D1
◒	circle with lower half black U+25D2
◓	circle with upper half black U+25D3
◔	circle with upper right quadrant black U+25D4
◕	circle with all but upper left quadrant black U+25D5
◖	left half black circle U+25D6
◗	right half black circle U+25D7
◘	inverse bullet U+25D8
◙	inverse white circle U+25D9
◚	upper half inverse white circle U+25DA
◛	lower half inverse white circle U+25DB
◜	upper left quadrant circular arc U+25DC
◝	upper right quadrant circular arc U+25DD
◞	lower right quadrant circular arc U+25DE
◟	lower left quadrant circular arc U+25DF
◠	upper half circle U+25E0
◡	lower half circle U+25E1
◢	black lower right triangle U+25E2
◣	black lower left triangle U+25E3
◤	black upper left triangle U+25E4
◥	black upper right triangle U+25E5
◦	white bullet U+25E6
◧	square with left half black U+25E7
◨	square with right half black U+25E8
◩	square with upper left diagonal half black U+25E9
◪	square with lower right diagonal half black U+25EA
◫	white square with vertical bisecting line U+25EB
◬	white up-pointing triangle with dot U+25EC
◭	up-pointing triangle with left half black U+25ED
◮	up-pointing triangle with right half black U+25EE
◯	large circle U+25EF
◰	white square with upper left quadrant U+25F0
◱	white square with lower left quadrant U+25F1
◲	white square with lower right quadrant U+25F2
◳	white square with upper right quadrant U+25F3
◴	white circle with upper left quadrant U+25F4
◵	white circle with lower left quadrant U+25F5
◶	white circle with lower right quadrant U+25F6
◷	white circle with upper right quadrant U+25F7
◸	upper left triangle U+25F8
◹	upper right triangle U+25F9
◺	lower left triangle U+25FA
◻	white medium square U+25FB
◼	black medium square U+25FC
◿	lower right triangle U+25FF
☀	black sun with rays U+2600
☁	cloud U+2601
☂	umbrella U+2602
☃	snowman U+2603
☄	comet U+2604
★	black star U+2605
☆	white star U+2606
☇	lightning U+2607
☈	thunderstorm U+2608
☉	sun U+2609
☊	ascending node U+260A
☋	descending node U+260B
☌	conjunction U+260C
☍	opposition U+260D
☎	black telephone U+260E
☏	white telephone U+260F
☐	ballot box U+2610
☑	ballot box with check U+2611
☒	ballot box with x U+2612
☓	saltire U+2613
☖	white shogi piece U+2616
☗	black shogi piece U+2617
☘	shamrock U+2618
☙	reversed rotated floral heart bullet U+2619
☚	black left pointing index U+261A
☛	black right pointing index U+261B
☜	white left pointing index U+261C
☝	white up pointing index U+261D
☞	white right pointing index U+261E
☟	white down pointing index U+261F
☠	skull and crossbones U+2620
☡	caution sign U+2621
☢	radioactive sign U+2622
☣	biohazard sign U+2623
☤	caduceus U+2624
☥	ankh U+2625
☦	orthodox cross U+2626
☧	chi rho U+2627
☨	cross of lorraine U+2628
☩	cross of jerusalem U+2629
☪	star and crescent U+262A
☫	farsi symbol U+262B
☬	adi shakti U+262C
☭	hammer and sickle U+262D
☮	peace symbol U+262E
☯	yin yang U+262F
☰	trigram for heaven U+2630
☱	trigram for lake U+2631
☲	trigram for fire U+2632
☳	trigram for thunder U+2633
☴	trigram for wind U+2634
☵	trigram for water U+2635
☶	trigram for mountain U+2636
☷	trigram for earth U+2637
☸	wheel of dharma U+2638
☹	white frowning face U+2639
☺	white smiling face U+263A
☻	black smiling face U+263B
☼	white sun with rays U+263C
☽	first quarter moon U+263D
☾	last quarter moon U+263E
☿	mercury U+263F
♀	female sign U+2640
♁	earth U+2641
♂	male sign U+2642
♃	jupiter U+2643
♄	saturn U+2644
♅	uranus U+2645
♆	neptune U+2646
♇	pluto U+2647
♔	white chess king U+2654
♕	white chess queen U+2655
♖	white chess rook U+2656
♗	white chess bishop U+2657
♘	white chess knight U+2658
♙	white chess pawn U+2659
♚	black chess king U+265A
♛	black chess queen U+265B
♜	black chess rook U+265C
♝	black chess bishop U+265D
♞	black chess knight U+265E
♟	black chess pawn U+265F
♠	black spade suit U+2660
♡	white heart suit U+2661
♢	white diamond suit U+2662
♣	black club suit U+2663
♤	white spade suit U+2664
♥	black heart suit U+2665
♦	black diamond suit U+2666
♧	white club suit U+2667
♨	hot springs U+2668
♩	quarter note U+2669
♪	eighth note U+266A
♫	beamed eighth notes U+266B
♬	beamed sixteenth notes U+266C
♭	music flat sign U+266D
♮	music natural sign U+266E
♯	music sharp sign U+266F
♰	west syriac cross U+2670
♱	east syriac cross U+2671
♲	universal recycling symbol U+2672
♳	recycling symbol for type-1 plastics U+2673
♴	recycling symbol for type-2 plastics U+2674
♵	recycling symbol for type-3 plastics U+2675
♶	recycling symbol for type-4 plastics U+2676
♷	recycling symbol for type-5 plastics U+2677
♸	recycling symbol for type-6 plastics U+2678
♹	recycling symbol for type-7 plastics U+2679
♺	recycling symbol for generic materials U+267A
♻	black universal recycling symbol U+267B
♼	recycled paper symbol U+267C
♽	partially-recycled paper symbol U+267D
♾	permanent paper sign U+267E
⚀	die face-1 U+2680
⚁	die face-2 U+2681
⚂	die face-3 U+2682
⚃	die face-4 U+2683
⚄	die face-5 U+2684
⚅	die face-6 U+2685
⚆	white circle with dot right U+2686
⚇	white circle with two dots U+2687
⚈	black circle with white dot right U+2688
⚉	black circle with two white dots U+2689
⚊	monogram for yang U+268A
⚋	monogram for yin U+268B
⚌	digram for greater yang U+268C
⚍	digram for lesser yin U+268D
⚎	digram for lesser yang U+268E
⚏	digram for greater yin U+268F
⚐	white flag U+2690
⚑	black flag U+2691
⚒	hammer and pick U+2692
⚔	crossed swords U+2694
⚕	staff of aesculapius U+2695
⚖	scales U+2696
⚗	alembic U+2697
⚘	flower U+2698
⚙	gear U+2699
⚚	staff of hermes U+269A
⚛	atom symbol U+269B
⚜	fleur-de-lis U+269C
⚝	outlined white star U+269D
⚞	three lines converging right U+269E
⚟	three lines converging left U+269F
⚠	warning sign U+26A0
⚢	doubled female sign U+26A2
⚣	doubled male sign U+26A3
⚤	interlocked female and male sign U+26A4
⚥	male and female sign U+26A5
⚦	male with stroke sign U+26A6
⚧	male with stroke and male and female sign U+26A7
⚨	vertical male with stroke sign U+26A8
⚩	horizontal male with stroke sign U+26A9
⚬	medium small white circle U+26AC
⚭	marriage symbol U+26AD
⚮	divorce symbol U+26AE
⚯	unmarried partnership symbol U+26AF
⚰	coffin U+26B0
⚱	funeral urn U+26B1
⚲	neuter U+26B2
⚳	ceres U+26B3
⚴	pallas U+26B4
⚵	juno U+26B5
⚶	vesta U+26B6
⚷	chiron U+26B7
⚸	black moon lilith U+26B8
⚹	sextile U+26B9
⚺	semisextile U+26BA
⚻	quincunx U+26BB
⚼	sesquiquadrate U+26BC
⚿	squared key U+26BF
⛀	white draughts man U+26C0
⛁	white draughts king U+26C1
⛂	black draughts man U+26C2
⛃	black draughts king U+26C3
⛆	rain U+26C6
⛇	black snowman U+26C7
⛈	thunder cloud and rain U+26C8
⛉	turned white shogi piece U+26C9
⛊	turned black shogi piece U+26CA
⛋	white diamond in square U+26CB
⛌	crossing lanes U+26CC
⛍	disabled car U+26CD
⛏	pick U+26CF
⛐	car sliding U+26D0
⛑	helmet with white cross U+26D1
⛒	circled crossing lanes U+26D2
⛓	chains U+26D3
⛕	alternate one-way left way traffic U+26D5
⛖	black two-way left way traffic U+26D6
⛗	white two-way left way traffic U+26D7
⛘	black left lane merge U+26D8
⛙	white left lane merge U+26D9
⛚	drive slow sign U+26DA
⛛	heavy white down-pointing triangle U+26DB
⛜	left closed entry U+26DC
⛝	squared saltire U+26DD
⛞	falling diagonal in white circle in black square U+26DE
⛟	black truck U+26DF
⛠	restricted left entry-1 U+26E0
⛡	restricted left entry-2 U+26E1
⛢	astronomical symbol for uranus U+26E2
⛣	heavy circle with stroke and two dots above U+26E3
⛤	pentagram U+26E4
⛥	right-handed interlaced pentagram U+26E5
⛦	left-handed interlaced pentagram U+26E6
⛧	inverted pentagram U+26E7
⛨	black cross on shield U+26E8
⛩	shinto shrine U+26E9
⛫	castle U+26EB
⛬	historic site U+26EC
⛭	gear without hub U+26ED
⛮	gear with handles U+26EE
⛯	map symbol for lighthouse U+26EF
⛰	mountain U+26F0
⛱	umbrella on ground U+26F1
⛴	ferry U+26F4
⛶	square four corners U+26F6
⛷	skier U+26F7
⛸	ice skate U+26F8
⛹	person with ball U+26F9
⛻	japanese bank symbol U+26FB
⛼	headstone graveyard symbol U+26FC
⛾	cup on black square U+26FE
⛿	white flag with horizontal middle black stripe U+26FF
✀	black safety scissors U+2700
✁	upper blade scissors U+2701
✂	black scissors U+2702
✃	lower blade scissors U+2703
✄	white scissors U+2704
✆	telephone location sign U+2706
✇	tape drive U+2707
✈	airplane U+2708
✉	envelope U+2709
✌	victory hand U+270C
✍	writing hand U+270D
✎	lower right pencil U+270E
✏	pencil U+270F
✐	upper right pencil U+2710
✑	white nib U+2711
✒	black nib U+2712
✓	check mark U+2713
✔	heavy check mark U+2714
✕	multiplication x U+2715
✖	heavy multiplication x U+2716
✗	ballot x U+2717
✘	heavy ballot x U+2718
✙	outlined greek cross U+2719
✚	heavy greek cross U+271A
✛	open centre cross U+271B
✜	heavy open centre cross U+271C
✝	latin cross U+271D
✞	shadowed white latin cross U+271E
✟	outlined latin cross U+271F
✠	maltese cross U+2720
✡	star of david U+2721
✢	four teardrop-spoked asterisk U+2722
✣	four balloon-spoked asterisk U+2723
✤	heavy four balloon-spoked asterisk U+2724
✥	four club-spoked asterisk U+2725
✦	black four pointed star U+2726
✧	white four pointed star U+2727
✩	stress outlined white star U+2729
✪	circled white star U+272A
✫	open centre black star U+272B
✬	black centre white star U+272C
✭	outlined black star U+272D
✮	heavy outlined black star U+272E
✯	pinwheel star U+272F
✰	shadowed white star U+2730
✱	heavy asterisk U+2731
✲	open centre asterisk U+2732
✳	eight spoked asterisk U+2733
✴	eight pointed black star U+2734
✵	eight pointed pinwheel star U+2735
✶	six pointed black star U+2736
✷	eight pointed rectilinear black star U+2737
✸	heavy eight pointed rectilinear black star U+2738
✹	twelve pointed black star U+2739
✺	sixteen pointed asterisk U+273A
✻	teardrop-spoked asterisk U+273B
✼	open centre teardrop-spoked asterisk U+273C
✽	heavy teardrop-spoked asterisk U+273D
✾	six petalled black and white florette U+273E
✿	black florette U+273F
❀	white florette U+2740
❁	eight petalled outlined black florette U+2741
❂	circled open centre eight pointed star U+2742
❃	heavy teardrop-spoked pinwheel asterisk U+2743
❄	snowflake U+2744
❅	tight trifoliate snowflake U+2745
❆	heavy chevron snowflake U+2746
❇	sparkle U+2747
❈	heavy sparkle U+2748
❉	balloon-spoked asterisk U+2749
❊	eight teardrop-spoked propeller asterisk U+274A
❋	heavy eight teardrop-spoked propeller asterisk U+274B
❍	shadowed white circle U+274D
❏	lower right drop-shadowed white square U+274F
❐	upper right drop-shadowed white square U+2750
❑	lower right shadowed white square U+2751
❒	upper right shadowed white square U+2752
❖	black diamond minus white x U+2756
❘	light vertical bar U+2758
❙	medium vertical bar U+2759
❚	heavy vertical bar U+275A
❛	heavy single turned comma quotation mark ornament U+275B
❜	heavy single comma quotation mark ornament U+275C
❝	heavy double turned comma quotation mark ornament U+275D
❞	heavy double comma quotation mark ornament U+275E
❟	heavy low single comma quotation mark ornament U+275F
❠	heavy low double comma quotation mark ornament U+2760
❡	curved stem paragraph sign ornament U+2761
❢	heavy exclamation mark ornament U+2762
❣	heavy heart exclamation mark ornament U+2763
❤	heavy black heart U+2764
❥	rotated heavy black heart bullet U+2765
❦	floral heart U+2766
❧	rotated floral heart bullet U+2767
❨	medium left parenthesis ornament U+2768
❩	medium right parenthesis ornament U+2769
❪	medium flattened left parenthesis ornament U+276A
❫	medium flattened right parenthesis ornament U+276B
❬	medium left-pointing angle bracket ornament U+276C
❭	medium right-pointing angle bracket ornament U+276D
❮	heavy left-pointing angle quotation mark ornament U+276E
❯	heavy right-pointing angle quotation mark ornament U+276F
❰	heavy left-pointing angle bracket ornament U+2770
❱	heavy right-pointing angle bracket ornament U+2771
❲	light left tortoise shell bracket ornament U+2772
❳	light right tortoise shell bracket ornament U+2773
❴	medium left curly bracket ornament U+2774
❵	medium right curly bracket ornament U+2775
❶	dingbat negative circled digit one U+2776
❷	dingbat negative circled digit two U+2777
❸	dingbat negative circled digit three U+2778
❹	dingbat negative circled digit four U+2779
❺	dingbat negative circled digit five U+277A
❻	dingbat negative circled digit six U+277B
❼	dingbat negative circled digit seven U+277C
❽	dingbat negative circled digit eight U+277D
❾	dingbat negative circled digit nine U+277E
❿	dingbat negative circled number ten U+277F
➀	dingbat circled sans-serif digit one U+2780
➁	dingbat circled sans-serif digit two U+2781
➂	dingbat circled sans-serif digit three U+2782
➃	dingbat circled sans-serif digit four U+2783
➄	dingbat circled sans-serif digit five U+2784
➅	dingbat circled sans-serif digit six U+2785
➆	dingbat circled sans-serif digit seven U+2786
➇	dingbat circled sans-serif digit eight U+2787
➈	dingbat circled sans-serif digit nine U+2788
➉	dingbat circled sans-serif number ten U+2789
➊	dingbat negative circled sans-serif digit one U+278A
➋	dingbat negative circled sans-serif digit two U+278B
➌	dingbat negative circled sans-serif digit three U+278C
➍	dingbat negative circled sans-serif digit four U+278D
➎	dingbat negative circled sans-serif digit five U+278E
➏	dingbat negative circled sans-serif digit six U+278F
➐	dingbat negative circled sans-serif digit seven U+2790
➑	dingbat negative circled sans-serif digit eight U+2791
➒	dingbat negative circled sans-serif digit nine U+2792
➓	dingbat negative circled sans-serif number ten U+2793
➔	heavy wide-headed rightwards arrow U+2794
➘	heavy south east arrow U+2798
➙	heavy rightwards arrow U+2799
